# lexicon.en.tsv - hand-authored evaluative polarity lexicon for folder_valence.py
#
# WHAT THIS IS AND IS NOT
# -----------------------
# This is a BOOTSTRAP, not a validated instrument. It exists so folder_valence.py
# can seed a field without vendoring the Warriner norms, which are CC BY-NC-ND 3.0
# and cannot ship under this repository's MIT license (see .gitignore and
# arousal_from_norms.py). Every entry below is a judgement call by the author.
#
# It is therefore NOT usable as ground truth. Validating the propagation against
# these numbers would be circular: the seeds and the answer would share an origin.
# For a falsifiable run, point --lexicon at a norms-derived table instead and treat
# this file as the fallback it is. TIER1_RESULTS.md §5 is the standard to beat.
#
# FORMAT
#   word<TAB>polarity        polarity in [-1, +1]
# Matching is on lowercased whitespace/punctuation-delimited tokens with a light
# suffix strip (-s, -es, -ed, -ing, -ly). No stemming beyond that: an aggressive
# stemmer collides "abstraction" with "abstract" and the two are not equivalent
# in a design corpus.
#
# SCOPE NOTE: entries are chosen for evaluative prose about work -- design docs,
# reviews, commit messages, notes. Words that are strongly affective in general
# English but neutral in a software corpus (error, fail, kill, abort, dead, panic,
# critical, blocked) are DELIBERATELY ABSENT here and additionally suppressed by
# TECH_NEUTRAL in folder_valence.py. Including them makes every source tree read
# as miserable; that is the single largest failure mode of lexicon sentiment on
# technical text.

# --- strong positive -------------------------------------------------------
excellent	0.90
outstanding	0.90
brilliant	0.85
superb	0.85
elegant	0.80
beautiful	0.80
delightful	0.80
wonderful	0.80
love	0.75
loved	0.75
best	0.75
perfect	0.75
remarkable	0.75
impressive	0.70
compelling	0.70
exceptional	0.75
triumph	0.80
breakthrough	0.75
thrilled	0.80
joy	0.85
elated	0.85
gratifying	0.70

# --- moderate positive -----------------------------------------------------
good	0.55
great	0.65
strong	0.50
solid	0.50
clean	0.50
clear	0.45
clearer	0.45
coherent	0.50
robust	0.55
reliable	0.55
sound	0.50
correct	0.50
accurate	0.50
precise	0.50
rigorous	0.55
honest	0.55
principled	0.55
defensible	0.45
justified	0.45
warranted	0.40
valid	0.45
useful	0.50
helpful	0.50
valuable	0.55
worthwhile	0.55
productive	0.50
effective	0.50
efficient	0.45
fast	0.35
simple	0.45
straightforward	0.45
readable	0.45
maintainable	0.50
consistent	0.45
stable	0.45
safe	0.45
secure	0.45
confident	0.50
confidence	0.45
promising	0.55
encouraging	0.55
improvement	0.55
improved	0.55
better	0.50
gain	0.40
advantage	0.45
benefit	0.50
succeed	0.60
succeeded	0.60
success	0.60
successful	0.60
works	0.40
working	0.35
validated	0.55
confirmed	0.45
verified	0.45
proven	0.55
survives	0.40
holds	0.30
agree	0.40
agreement	0.40
